"Count of Vehicles by Make ,Body Type and Colour as at  30th June 2020",,,,
MAKE_DESC,BODY_TYPE_DESC,YEAR_OF_MANUFACTURE,COLOUR_DESC,TOTAL
ADEL OUTBOARD,BOAT TRAILER,2018,SILVER,1
ADEL OUTBOARD,NOT RECORDED-NON-COMM TRL,1968,GREY,1
ADEL OUTBOARD,TRAILER,1900,BROWN,1
ADEL OUTBOARD,TRAILER,1900,SILVER,1
ADEL OUTBOARD,TRAILER,1960,GREEN,1
ADEL OUTBOARD,TRAILER,1964,BLUE,1
ADEL OUTBOARD,TRAILER,1967,BEIGE,1
ADEL OUTBOARD,TRAILER,1967,BLUE,1
ADEL OUTBOARD,TRAILER,1967,GREY,2
ADEL OUTBOARD,TRAILER,1969,GREY,3
ADEL OUTBOARD,TRAILER,1969,WHITE,1
ADEL OUTBOARD,TRAILER,1971,GREY,1
ADEL OUTBOARD,TRAILER,1976,BLUE,1
ADEL OUTBOARD,TRAILER,1989,BLUE,1
ADELAIDE AUTO RECON,TRAILER,1997,BLUE,1
ADELAIDE AUTO RECON,TRAILER,1999,GREY,1
ADELAIDE AUTO RECON,TRAILER,2003,SILVER,1
ADRIA,CARAVAN,2007,WHITE,2
ADRIA,CARAVAN,2008,WHITE,5
ADRIA,CARAVAN,2009,WHITE,2
ADRIA,CARAVAN,2010,WHITE,7
ADRIA,CARAVAN,2013,WHITE,1
ADRIA,CARAVAN,2014,WHITE,1
ADRIA,CARAVAN,2015,WHITE,3
ADRIA,CARAVAN,2016,WHITE,4
ADRIA,CARAVAN,2017,WHITE,11
ADRIA,CARAVAN,2018,WHITE,21
ADRIA,CARAVAN,2019,WHITE,11
ADRIA,CARAVAN,2020,WHITE,1
ADRIA,CARAVAN VEHICLE,2017,WHITE,1
ADRIA,CARAVAN VEHICLE,2018,WHITE,3
ADRIA,CARAVAN VEHICLE,2020,WHITE,2
ADVENTURA CARAVANS,CARAVAN,1972,WHITE,1
ADVENTURA CARAVANS,CARAVAN,1980,WHITE,1
ADVENTURA CARAVANS,CARAVAN,2007,WHITE,1
ADVENTURA CARAVANS,CARAVAN,2008,WHITE,4
ADVENTURA CARAVANS,CARAVAN,2009,WHITE,9
ADVENTURA CARAVANS,CARAVAN,2010,WHITE,9
ADVENTURA CARAVANS,CARAVAN,2011,WHITE,6
ADVENTURA CARAVANS,CARAVAN,2012,WHITE,5
ADVENTURA CARAVANS,CARAVAN,2013,SILVER,2
ADVENTURA CARAVANS,CARAVAN,2013,WHITE,2
ADVENTURA CARAVANS,CARAVAN,2014,SILVER,6
ADVENTURA CARAVANS,CARAVAN,2014,WHITE,3
ADVENTURA CARAVANS,CARAVAN,2015,SILVER,8
ADVENTURA CARAVANS,CARAVAN,2015,WHITE,1
ADVENTURA CARAVANS,CARAVAN,2016,SILVER,10
ADVENTURA CARAVANS,CARAVAN,2017,SILVER,1
ADVENTURA CARAVANS,TRAILER,2002,GREEN,1
ADVENTURA CARAVANS,TRAILER,2012,WHITE,1
ADVENTURA CARAVANS,TRAILER,2013,WHITE,1
ADVENTURE,CARAVAN,1964,CREAM,1
ADVENTURE,CARAVAN,1971,WHITE,1
ADVENTURE,CARAVAN,2001,BLUE,1
ADVENTURE,CARAVAN,2001,GREEN,2
ADVENTURE,CARAVAN,2004,GREY,1
ADVENTURE,CARAVAN,2004,WHITE,1
ADVENTURE,CARAVAN,2005,GREY,1
ADVENTURE,CARAVAN,2006,SILVER,2
ADVENTURE,CARAVAN,2007,WHITE,2
ADVENTURE,CARAVAN,2008,WHITE,2
ADVENTURE,CARAVAN,2011,WHITE,1
ADVENTURE,CARAVAN,2015,WHITE,2
ADVENTURE,CARAVAN,2017,BLACK,1
ADVENTURE,CARAVAN,2017,WHITE,1
ADVENTURE,TRAILER,1996,GREEN,1
ADVENTURE,TRAILER,1996,GREY,1
ADVENTURE,TRAILER,1997,GREEN,3
ADVENTURE,TRAILER,1997,GREY,1
ADVENTURE,TRAILER,1998,GREEN,3
ADVENTURE,TRAILER,1999,GREEN,11
ADVENTURE,TRAILER,2000,GREEN,5
ADVENTURE,TRAILER,2000,GREY,2
ADVENTURE,TRAILER,2001,BLUE,1
ADVENTURE,TRAILER,2001,GREEN,5
ADVENTURE,TRAILER,2002,BLUE,7
ADVENTURE,TRAILER,2002,GREEN,2
ADVENTURE,TRAILER,2002,GREY,2
ADVENTURE,TRAILER,2003,BLUE,2
ADVENTURE,TRAILER,2003,GREY,4
ADVENTURE,TRAILER,2004,BLUE,1
ADVENTURE,TRAILER,2004,GREEN,1
ADVENTURE,TRAILER,2004,GREY,1
ADVENTURE,TRAILER,2004,SILVER,6
ADVENTURE,TRAILER,2004,WHITE,2
ADVENTURE,TRAILER,2005,BLUE,1
ADVENTURE,TRAILER,2005,GREY,4
ADVENTURE,TRAILER,2005,SILVER,5
ADVENTURE,TRAILER,2005,WHITE,1
ADVENTURE,TRAILER,2006,GREY,1
ADVENTURE,TRAILER,2006,SILVER,11
ADVENTURE,TRAILER,2007,GREY,4
ADVENTURE,TRAILER,2007,SILVER,14
ADVENTURE,TRAILER,2007,WHITE,1
ADVENTURE,TRAILER,2008,GREY,1
ADVENTURE,TRAILER,2008,SILVER,8
ADVENTURE,TRAILER,2009,GREY,4
ADVENTURE,TRAILER,2009,SILVER,10
ADVENTURE,TRAILER,2010,GREY,1
ADVENTURE,TRAILER,2010,SILVER,16
ADVENTURE,TRAILER,2011,BLACK,1
ADVENTURE,TRAILER,2011,GREY,16
ADVENTURE,TRAILER,2011,RED,1
ADVENTURE,TRAILER,2012,BLACK,2
ADVENTURE,TRAILER,2012,GREY,12
ADVENTURE,TRAILER,2013,BLACK,1
ADVENTURE,TRAILER,2013,GREY,4
ADVENTURE,TRAILER,2014,GREY,1
ADVENTURE,TRAILER,2017,GREY,1
ADVENTURE,TRAILER,2017,YELLOW,1
ADVENTURE,TRAILER,2018,SILVER,1
AEC,CARAVAN VEHICLE,1970,WHITE,1
AEC,CARAVAN VEHICLE,1971,WHITE,1
AEC,CARAVAN VEHICLE,1972,GREY,1
AEC,CARAVAN VEHICLE,1972,WHITE,1
AEC,TRAILER,2004,SILVER,1
AEC,TRAILER,2007,SILVER,1
AEC,TRUCK,1951,RED,1
AEC,TRUCK,1972,BLUE,1
AFM OPHE,LEAD TRAILER,1996,BROWN,1
AFM OPHE,SEMI TRAILER,1989,GREEN,1
AFM OPHE,SEMI TRAILER,1994,BLUE,1
AFM OPHE,SEMI TRAILER,1995,RED,1
AFM OPHE,SEMI TRAILER,1996,BLUE,1
AGCO,FERTILISER SPREADER,1988,YELLOW,1
AGCO,LAND IMPLEMENT VEHICLE,1992,SILVER,1
AGCO,LAND IMPLEMENT VEHICLE,1994,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,1995,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,1995,SILVER,1
AGCO,LAND IMPLEMENT VEHICLE,1996,GREY,2
AGCO,LAND IMPLEMENT VEHICLE,1996,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,1997,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,1997,SILVER,7
AGCO,LAND IMPLEMENT VEHICLE,1998,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,1998,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,1999,SILVER,3
AGCO,LAND IMPLEMENT VEHICLE,2000,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2000,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,2001,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2001,SILVER,6
AGCO,LAND IMPLEMENT VEHICLE,2002,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2002,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,2003,SILVER,1
AGCO,LAND IMPLEMENT VEHICLE,2004,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,2008,SILVER,1
AGCO,LAND IMPLEMENT VEHICLE,2009,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2009,SILVER,1
AGCO,LAND IMPLEMENT VEHICLE,2009,YELLOW,2
AGCO,LAND IMPLEMENT VEHICLE,2010,GREY,3
AGCO,LAND IMPLEMENT VEHICLE,2010,SILVER,1
AGCO,LAND IMPLEMENT VEHICLE,2011,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2012,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2012,YELLOW,2
AGCO,LAND IMPLEMENT VEHICLE,2013,SILVER,2
AGCO,LAND IMPLEMENT VEHICLE,2015,YELLOW,1
AGCO,LAND IMPLEMENT VEHICLE,2016,GREY,2
AGCO,LAND IMPLEMENT VEHICLE,2018,YELLOW,2
AGCO,LAND IMPLEMENT VEHICLE,2019,GREY,1
AGCO,LAND IMPLEMENT VEHICLE,2019,YELLOW,3
AGCO,LAND IMPLEMENT VEHICLE,2020,YELLOW,1
AGCO,TRACTOR,1997,SILVER,1
AGCO,TRACTOR,1998,GREY,1
AGCO,TRACTOR,1998,SILVER,5
AGCO,TRACTOR,1999,SILVER,1
AGCO,TRACTOR,2000,SILVER,1
AGCO,TRACTOR,2009,YELLOW,2
AGCO,TRACTOR,2010,YELLOW,1
AGCO,TRACTOR,2013,YELLOW,2
AGCO,TRACTOR,2014,YELLOW,1
AGCO,TRACTOR,2015,YELLOW,2
AGCO,TRACTOR,2017,RED,1
AGCO,TRACTOR,2018,YELLOW,1
AGTOR,TRACTOR,1993,ORANGE,1
AGTOR,TRACTOR,1993,RED,1
AGTOR,TRACTOR,1995,ORANGE,1
AGTOR,TRACTOR,1995,RED,5
AGTOR,TRACTOR,1996,ORANGE,1
AGTOR,TRACTOR,1996,RED,2
AGTOR,TRACTOR,1997,RED,1
AHE,BOAT TRAILER,1998,SILVER,4
AHE,PIG TRAILER,2000,RED,1
AHE,TRAILER,1995,BLUE,1
AHE,TRAILER,1995,WHITE,3
AHE,TRAILER,1996,BLUE,2
AHE,TRAILER,2002,SILVER,1
AHE,TRAILER,2002,WHITE,1
AHE,TRAILER,2002,YELLOW,1
